FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage,ROI Diario,ROI Acumulado
2023-01-08,13.088904148424348,4837378850.913317,206848508.91488263,solana,55.67871775067088,12.744894353944174,-0.032207437283803486,12.668363083754846
2023-01-09,14.366071146091024,5151917607.84378,641916931.2187709,solana,63.58128057729258,12.774522144457071,0.09757631220948482,14.002071547407905
2023-01-10,16.302299779948743,6031956017.044448,1889438468.2886295,solana,71.79259099983993,12.853659064417771,0.13477788145192116,16.024018967957687
2023-01-11,16.203193608411635,6001548952.666129,854036815.4897147,solana,70.91127463103382,12.939360254577474,-0.006079275493326763,15.920525266647854
2023-01-12,16.463404027248835,6106281178.181655,749738092.7270372,solana,71.88708787806155,13.019924543478469,0.016059205680423183,16.19225546212575
2023-01-13,16.615747688335087,6160624328.048672,948123277.608364,solana,72.46938195052526,13.06392998081275,0.009253472783277816,16.35134353012769
2023-01-14,18.279734593696567,6767551967.350333,1221076768.198037,solana,77.86285330593795,13.137674594620783,0.10014517171139192,18.088996807375676
2023-01-15,24.302862020252288,9066218089.522646,4130184710.826154,solana,87.4482929905938,13.342219727581274,0.3294975315797357,24.378774135739416
2023-01-16,22.837523286781188,8465167529.981883,1967106481.9434116,solana,78.53838859858627,13.515666408849864,-0.06029490404257698,22.84856338450677
2023-01-17,23.58595194500377,8762954564.82465,1775938541.45958,solana,79.6773254184431,13.705256881610529,0.03277188374694684,23.63012573127552
2023-01-18,22.88158744195828,8525510205.462621,1033549762.1336452,solana,75.61053889754953,13.896026570903707,-0.029863730100353036,22.894578304098946
2023-01-19,20.85763434507722,7710048711.615839,1543991743.304109,solana,65.29720894399117,14.045697551215106,-0.0884533514999799,20.781022770422688
2023-01-20,21.41456003084829,7934995923.191625,898504341.2684329,solana,66.64540704688885,14.191046655048188,0.02670128723886256,21.36260411577195
2023-01-21,25.575834872318875,9489394201.957804,1527407710.515736,solana,74.58911031463985,14.432379724213565,0.19431988495099373,25.708102774753375
2023-01-22,24.66528659481628,9143727538.633389,2096626033.2535572,solana,70.62550679899812,14.650376191967835,-0.035601898512728325,24.75724361029909
