FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage,ROI Diario,ROI Acumulado
2020-02-22,9673.011800270346,176701844101.55685,37678167400.71924,bitcoin,51.97607564676227,9829.241165449097,0.00674869663142541,0.3446402117871057
2020-02-23,9658.606058375472,176097270350.4831,32555342237.08436,bitcoin,51.67370658962228,9845.250636770903,-0.0014892716138805717,0.3426376772888089
2020-02-24,9946.716123467522,181368043820.0941,38743680759.32858,bitcoin,57.05463971919592,9877.140807829719,0.02982936288639859,0.38268770378960815
2020-02-25,9670.9608064677,175872097740.40662,41928789500.12296,bitcoin,51.180687956485606,9901.690884099247,-0.027723251933291504,0.34435510423238447
2020-02-26,9345.342701734848,170478976467.6238,39441760776.3185,bitcoin,45.255765675416924,9889.348825491095,-0.033669674735429256,0.299091105143966
2020-02-27,8801.657129472504,160731785487.8149,45140119229.63602,bitcoin,37.45837314286577,9842.19985305675,-0.05817716798779515,0.22351366368855508
2020-02-28,8781.175282202359,160149975301.41962,43045469000.97675,bitcoin,37.19835407139538,9791.286194375632,-0.002327044438207082,0.22066649302239827
2020-02-29,8717.331431359424,159030381910.26715,41297721067.30182,bitcoin,36.35130049871466,9732.617683033863,-0.007270535980796744,0.21179159336432596
2020-03-01,8552.989118581636,156047250857.11172,33291626663.006737,bitcoin,34.1928716627704,9652.848153006355,-0.018852364863241156,0.18894645610801342
2020-03-02,8567.802248679225,155934421965.2728,34310775733.322155,bitcoin,34.56998934730409,9586.732204239317,0.0017319243474083201,0.19100562142311173
2020-03-03,8905.876104262194,162521881368.8758,59776629742.57125,bitcoin,42.647959854872994,9520.679720991659,0.03945864362533391,0.2380010877946157
2020-03-04,8756.718576742549,159816567727.14258,68336042797.3885,bitcoin,40.28484288477124,9442.070771536968,-0.016748214973287157,0.21726677943906814
2020-03-05,8758.646993191916,159869936941.09732,38832067216.87788,bitcoin,40.330876697878146,9368.940105736481,0.00022022135717469915,0.21753484758127994
2020-03-06,9038.870323233425,165070261612.788,38122635173.15044,bitcoin,46.75428039608973,9304.875764872453,0.03199390616602371,0.25648854324865944
2020-03-07,9135.84506603321,166791067805.42844,41388087588.44269,bitcoin,48.80807064871574,9266.961211984655,0.010728635253292929,0.2699689505291156
2020-03-08,8902.20195010789,162543409238.00458,36764763103.12236,bitcoin,44.36771750656348,9214.887629361114,-0.025574329931885242,0.2374903455850339
2020-03-09,8041.365538071835,147076617271.6885,39132209137.69724,bitcoin,32.59992914635899,9130.77565494358,-0.09669926798567208,0.11782593502762473
2020-03-10,7921.33200691072,144664117909.4077,45678665163.11017,bitcoin,31.35125441975964,9020.151384434883,-0.01492700842820982,0.10114013787419585
2020-03-11,7906.731528510632,144410718987.88852,40882213633.94649,bitcoin,31.19473682026441,8934.567498447894,-0.0018431847557141001,0.09911053315816121
2020-03-12,7935.522040170545,144948460093.29614,38689036552.81125,bitcoin,31.91653681620147,8850.935141392296,0.003641265870239385,0.10311268683017061
2020-03-13,5142.990459018316,93092131086.97026,50009548492.07486,bitcoin,15.228857757850378,8624.434074329696,-0.35190269361185134,-0.285075639022773
2020-03-14,5542.819542373153,101262945297.35812,74329688818.10397,bitcoin,21.553213715807516,8418.644748529581,0.07774252869820719,-0.22949561137245345
2020-03-15,5214.189112383918,95216478864.65564,36054625746.82817,bitcoin,20.218075688112307,8182.0183979754,-0.05928939729625993,-0.2751783521883039
2020-03-16,5397.93335743919,98632587514.00249,32985693209.74783,bitcoin,23.086907309697153,7968.367025523975,0.03523927519599779,-0.2496361626730509
2020-03-17,5032.501351487721,91962797384.28252,44034438467.96684,bitcoin,21.436003072150015,7752.724958011617,-0.06769850269600819,-0.30043467093731635
2020-03-18,5389.41577503409,98079756006.79294,36007089253.82256,bitcoin,26.931753573098433,7582.112890289696,0.07092187336240996,-0.2508201872608
2020-03-19,5376.280747845438,98259998309.05324,37618067230.41405,bitcoin,26.857294562493664,7411.868163571851,-0.0024371894351701284,-0.2526460803854508
2020-03-20,6170.200600237675,112778383593.4914,48056214948.15649,bitcoin,38.01270781916419,7284.511622015763,0.14767083224037414,-0.1422837050978646
2020-03-21,6195.603505257629,113030383272.51408,50936770688.25396,bitcoin,38.33677294599653,7166.642341349563,0.004117030655206744,-0.1387524608182822
2020-03-22,6145.770891252399,112349835902.32983,40189198131.46317,bitcoin,37.91798912150061,7045.540773478223,-0.008043221933576206,-0.14567966591566706
2020-03-23,5859.647430299388,107128564670.89128,37255748385.30394,bitcoin,35.51883813163643,6893.229339780082,-0.04655615479585573,-0.18545353563454448
2020-03-24,6456.347485963419,118046727572.5451,45578824447.64577,bitcoin,43.54166858300372,6778.210785241125,0.10183207484098467,-0.102506579113822
2020-03-25,6730.173782371188,123064256188.85924,45846522059.373184,bitcoin,46.81214479930339,6676.787124700089,0.042411951494724764,-0.06444213168036284
2020-03-26,6695.900618397724,122445336599.19923,42082295491.03078,bitcoin,46.44946165600065,6559.638639458304,-0.005092463446224493,-0.0692064259266083
2020-03-27,6765.56207892991,123732739823.4625,34840544710.10888,bitcoin,47.3424636483722,6441.12449010314,0.010403598336089948,-0.0595228234481352
2020-03-28,6397.826328325604,117019679177.8136,32910551599.472366,bitcoin,43.24295409988019,6315.905709014025,-0.05435405755119016,-0.11064157402801611
2020-03-29,6255.000398693634,114171796491.49911,35231848358.55144,bitcoin,41.731479949409746,6226.587452045114,-0.022324133588876083,-0.13049573033780726
2020-03-30,5915.337154791903,108551603303.50957,25923471292.176422,bitcoin,38.302690426078435,6126.287709439174,-0.054302673421518954,-0.17771213673188968
2020-03-31,6403.141235565223,117151628726.53436,34907149977.57921,bitcoin,45.25889235388993,6051.108194791904,0.08246429037069491,-0.10990275160704999
2020-04-01,6421.70541388854,117750205634.39989,32287674952.1782,bitcoin,45.51067879406346,5975.4173634778035,0.002899229868647213,-0.1073221550785084
2020-04-02,6640.797666310131,120921617010.34784,35886963977.71526,bitcoin,48.52016184577163,6050.307723842394,0.03411745608070871,-0.07686625791017776
2020-04-03,6807.897017890566,124719708453.63536,47638672293.73783,bitcoin,50.754158384350085,6113.561597618265,0.025162542209071992,-0.053637866160224035
2020-04-04,6732.852018394612,123234164427.70816,39867535857.25387,bitcoin,49.71081354696978,6189.494742918799,-0.011023227774853539,-0.06406983151903634
2020-04-05,6859.424923721944,125564427826.17566,35009177102.13241,bitcoin,51.52096085035633,6262.569321232937,0.018799300056131507,-0.04647499945017697
2020-04-06,6788.048272605917,124272363451.93964,31885662165.01491,bitcoin,50.418832448481446,6350.346667288847,-0.010405631945789584,-0.056397029657007214
2020-04-07,7297.635558289496,133484854333.44952,45370138560.82485,bitcoin,57.42180724833645,6445.757656451617,0.07507125247474833,0.014440427165534064
2020-04-08,7196.782202442051,131782164465.85344,43386074290.71468,bitcoin,55.74370620446956,6536.782729181448,-0.013820004444163203,0.0004208559537675072
2020-04-09,7342.291601148024,134518720640.0234,38922547592.862114,bitcoin,57.66598377332896,6595.387279226966,0.020218674765035693,0.020648039868455426
2020-04-10,7294.488875121554,133598651281.71776,34921486435.060486,bitcoin,56.79324545429954,6650.331547720161,-0.006510600317072068,0.014003008416468843
2020-04-11,6864.694257006497,125740858699.27551,37828011010.9016,bitcoin,49.53444826978969,6686.277716007867,-0.05892045700157367,-0.045742512240400046
2020-04-12,6878.781212589853,125980543742.365,30280054180.28837,bitcoin,49.76109475979574,6737.23440512239,0.002052087836101002,-0.04378429205726031
2020-04-13,6913.158787469097,126655463658.31229,34544392366.04943,bitcoin,50.34715316713426,6760.074970197673,0.004997625860861055,-0.03900548370668411
2020-04-14,6857.538537511484,125651103790.21223,38062368291.08157,bitcoin,49.34420322635537,6766.443207954688,-0.00804556233518472,-0.046737224991292625
