FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage,ROI Diario,ROI Acumulado
2020-01-02,1.0033463682511732,520207772.344799,215618098.8202317,usd-coin,,,,
2020-01-03,1.0024337376043235,519915525.6515283,272591127.39166415,usd-coin,,,-0.0009095868343454994,-0.0009095868343454994
2020-01-04,1.000129940621688,518840356.23984027,319466024.06633407,usd-coin,,,-0.0022982037577280456,-0.003205700176192927
2020-01-05,1.0011328053531696,518952465.8939109,233728422.58252147,usd-coin,,,0.0010027344355456602,-0.0022061802066040137
2020-01-06,1.0005001016376387,517973272.0167182,243499530.79223964,usd-coin,,,-0.0006319877963720799,-0.002836773724008923
2020-01-07,0.9995427434685225,513964830.89622414,317566485.9564313,usd-coin,,,-0.000956879632045271,-0.0037909389050569953
2020-01-08,0.9991398120540472,490317289.1346477,362374029.49344057,usd-coin,,,-0.00040311574178109044,-0.004192526459689372
2020-01-09,0.9963422485458072,469784290.4592922,348802962.6513395,usd-coin,,,-0.002799972010412377,-0.006980759513361745
2020-01-10,1.0004192458659895,461732414.6320353,261845670.60260576,usd-coin,,,0.0040919647100510215,-0.002917359824888721
2020-01-11,1.0028003486908554,458520665.0113552,324671141.1630443,usd-coin,,,0.002380104975694186,-0.0005441984718296267
2020-01-12,0.997845137282334,448892629.9786288,260012602.16400465,usd-coin,,,-0.004941373838761032,-0.005482883222498902
2020-01-13,0.999948827900381,449197501.3252703,255131331.64024284,usd-coin,,,0.0021082335719713186,-0.003386208849008421
2020-01-14,0.9988351849893212,447171709.5100277,272095710.1490189,usd-coin,,,-0.0011136999014220716,-0.004496137529969135
2020-01-15,0.9999219665073306,432020884.2093037,416258625.129138,usd-coin,46.17393746254421,,0.0010880488936930721,-0.0034129806537414042
2020-01-16,1.0006294830616826,452134110.28727376,492603662.0778319,usd-coin,48.45129492797543,,0.0007075717686484406,-0.002707823813850485
2020-01-17,1.0003777784150112,448456801.4371989,479556401.0409429,usd-coin,47.67843656655441,,-0.0002515463025347664,-0.0029586889733169697
2020-01-18,0.997724347084042,444757303.0433652,411207373.0387257,usd-coin,40.36814615977382,,-0.00265242930043208,-0.005603270560425311
2020-01-19,0.9998060330031416,444284972.3799664,362539943.1080856,usd-coin,47.20696764036992,,0.0020864339185302505,-0.003528527495647027
2020-01-20,0.998572359463792,444638589.319839,371515172.9765642,usd-coin,43.98737635035614,,-0.0012339128777248964,-0.004758086477855583
2020-01-21,0.9993678027793242,444694131.16606486,295826464.19505453,usd-coin,46.52005039206052,,0.0007965805462104569,-0.003965296130770568
2020-01-22,0.9993263708301796,447471889.2737792,279195514.7977273,usd-coin,46.402359120230955,,-4.145815887746096e-05,-0.004006589895771073
2020-01-23,1.0021384322391766,458243977.4682983,256626144.28933,usd-coin,54.766777168464806,,0.002813956972496312,-0.0012039072948478724
