FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage,ROI Diario,ROI Acumulado
2020-01-02,0.0020256529175354,248529647.116573,38576914.81140906,dogecoin,,,,
2020-01-03,0.002008392768899,247094892.42233893,46080313.1698568,dogecoin,,,-0.008520782848327357,-0.008520782848327357
2020-01-04,0.0020488746556611,251527987.79634985,40863740.2637823,dogecoin,,,0.02015635954728734,0.011463828736244741
2020-01-05,0.0021893358810617,268594298.65203285,46196902.62503713,dogecoin,,,0.0685553042556808,0.08080503925887372
2020-01-06,0.002070406002027,254259070.1197398,32539590.81985469,dogecoin,,,-0.05432235412732822,0.02209316517365223
2020-01-07,0.002130012065464,261857064.67104656,38106371.073414624,dogecoin,,,0.02878955305319031,0.05151877057772225
2020-01-08,0.0022347809887025,275004935.79986775,43529571.27630211,dogecoin,,,0.04918700928376074,0.10323983410817728
2020-01-09,0.0021698238204068,267243278.20635143,43151513.17199349,dogecoin,,,-0.02906645824538434,0.07117255953542712
2020-01-10,0.0022898991972156,280642957.93576306,48004964.6872597,dogecoin,,,0.05533876791263537,0.13044992920194165
2020-01-11,0.0022604175530193,277319085.421688,53435758.9843392,dogecoin,,,-0.012874647160079467,0.11589578523132982
2020-01-12,0.0022184065662058,274549041.47028416,60455962.13803458,dogecoin,,,-0.018585498399348643,0.09515630590107294
2020-01-13,0.0022653219436426,278184999.84880733,52330281.75188446,dogecoin,,,0.021148232317505622,0.11831692588225007
2020-01-14,0.0021502904144149,268905102.8804797,48689131.79398153,dogecoin,,,-0.050779329424024966,0.06152954230241248
2020-01-15,0.0023332170388867,285915720.1525665,86813590.25639725,dogecoin,64.12484700445707,,0.08507065987250617,0.15183456094023806
2020-01-16,0.0023988994843749,293219030.2143502,107025135.71837308,dogecoin,67.1847132952549,,0.028151022555338523,0.18425988164528517
2020-01-17,0.0023355947889077,287096649.09641534,79745346.96790454,dogecoin,61.720710678658605,,-0.026389057098695323,0.15300838000885353
2020-01-18,0.0024266579520018,298313408.1320623,98670907.34183107,dogecoin,66.00384524341555,,0.03898928167102489,0.19796334850607078
2020-01-19,0.0024978974841496,307116384.3177905,91648033.563276,dogecoin,68.93249378950262,,0.029357055488200556,0.23313202500099406
2020-01-20,0.002408133891485,295309242.2699767,87205354.75027466,dogecoin,61.71789156110225,,-0.03593565918305064,0.18881861282285328
2020-01-21,0.0023910498653669,294045586.6172205,73125411.42149109,dogecoin,60.42173846461129,,-0.007094300768951567,0.18038477602376024
2020-01-22,0.0023730814842065,292003032.95144904,67442647.37519659,dogecoin,59.017851870310636,,-0.007514850033310649,0.17151436145033871
2020-01-23,0.0023673337410396,291194286.0861457,68481208.43920273,dogecoin,58.54921872701712,,-0.002422058915866443,0.1686768846461224
2020-01-24,0.0022401405755836,277076163.52581805,70446234.76942727,dogecoin,49.232687374047856,,-0.05372844700812818,0.10588569057978892
2020-01-25,0.0022725871241637,279603078.3399694,67906669.73371239,dogecoin,51.35899032120676,,0.014484157348762405,0.12190351293189128
2020-01-26,0.0022451092171118,276253328.58337873,63624027.58255218,dogecoin,49.46935901011763,,-0.012091024700323416,0.10833854984565217
2020-01-27,0.0023064480379864,282730605.071507,57079680.62868142,dogecoin,53.57559063013145,,0.02732108549868628,0.13861956212747528
2020-01-28,0.0023658050320081,291169771.48012865,71267011.27385685,dogecoin,57.20012556290594,,0.025735240093906597,0.16792220993444462
2020-01-29,0.0024452269213911,300978822.31486434,73912107.34704554,dogecoin,61.52825989443093,,0.03357076695182548,0.2071302542620148
2020-01-30,0.0023899527892344,293720726.42376184,60908834.3515024,dogecoin,57.1934418653494,,-0.022604909046745836,0.1798431846568469
2020-01-31,0.002431817492304,299395266.276698,68004034.73337087,dogecoin,59.51966364058535,,0.017516958183517506,0.20051044838558907
2020-02-01,0.0023867772441504,293883414.0927982,58805204.81953648,dogecoin,55.99416140380719,,-0.018521228791280264,0.17827551970471722
2020-02-02,0.0024052458887393,296190766.360422,61580812.41013885,dogecoin,57.11585996887684,,0.007737900398608,0.1873928983183104
2020-02-03,0.0024687958181044,304050716.34409064,74934190.64597635,dogecoin,60.81694363992071,,0.02642138571470931,0.218765464079685
2020-02-04,0.0024399251647118,300528804.91610813,64002051.11978398,dogecoin,58.35304985773212,,-0.011694224844712942,0.20451294670976616
2020-02-05,0.00247698549871,305127579.11080337,61160180.35437329,dogecoin,60.56182545249465,,0.015189127328246288,0.22280844722586202
2020-02-06,0.0025801212331233,317868370.34649044,74945448.71775518,dogecoin,65.97068945618784,,0.041637601216079956,0.2737232577151063
2020-02-07,0.0026613780358569,327915495.04639745,68693591.6002877,dogecoin,69.51777139373988,,0.03149340491851094,0.31383714002445307
2020-02-08,0.0027733568756612,341082966.9310376,74768228.3109035,dogecoin,73.60151112198233,,0.04207551061728276,0.36911750855893244
2020-02-09,0.0031526232578347,388530856.4864009,114237107.48269545,dogecoin,82.26691358861771,,0.1367535442343959,0.5563491803277323
2020-02-10,0.0032205221096482,396943068.4913495,122582884.23405837,dogecoin,83.32238478364934,,0.021537255250769993,0.5898686698837774
2020-02-11,0.0030157853891987,371749850.1071834,104681582.67689836,dogecoin,69.82652702112516,,-0.06357252441650363,0.4887967050485569
2020-02-12,0.003052700885409,376342792.7170969,152367638.31450644,dogecoin,70.74658054061953,,0.012240757032153438,0.5070207037853269
2020-02-13,0.003050979565269,376172783.65998447,153307473.93043435,dogecoin,70.63842061152454,,-0.0005638679335493446,0.5061709431352674
