,FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID
0,2020-01-02,1.0033463682511732,520207772.344799,215618098.82023174,usd-coin
1,2020-01-03,1.0024337376043237,519915525.6515283,272591127.39166415,usd-coin
2,2020-01-04,1.0001299406216881,518840356.23984027,319466024.06633407,usd-coin
3,2020-01-05,1.0011328053531696,518952465.89391094,233728422.58252147,usd-coin
4,2020-01-06,1.0005001016376387,517973272.0167182,243499530.79223964,usd-coin
5,2020-01-07,0.9995427434685223,513964830.89622414,317566485.9564313,usd-coin
6,2020-01-08,0.9991398120540471,490317289.1346477,362374029.49344057,usd-coin
7,2020-01-09,0.9963422485458072,469784290.45929223,348802962.6513395,usd-coin
8,2020-01-10,1.0004192458659897,461732414.6320353,261845670.60260576,usd-coin
9,2020-01-11,1.0028003486908554,458520665.0113552,324671141.1630443,usd-coin
10,2020-01-12,0.9978451372823341,448892629.9786288,260012602.16400465,usd-coin
11,2020-01-13,0.999948827900381,449197501.3252703,255131331.64024284,usd-coin
12,2020-01-14,0.9988351849893212,447171709.5100277,272095710.1490189,usd-coin
13,2020-01-15,0.9999219665073306,432020884.2093037,416258625.129138,usd-coin
14,2020-01-16,1.0006294830616826,452134110.28727376,492603662.0778319,usd-coin
15,2020-01-17,1.0003777784150112,448456801.4371989,479556401.04094285,usd-coin
16,2020-01-18,0.9977243470840421,444757303.0433652,411207373.0387257,usd-coin
17,2020-01-19,0.9998060330031416,444284972.3799664,362539943.1080856,usd-coin
18,2020-01-20,0.9985723594637921,444638589.319839,371515172.9765642,usd-coin
19,2020-01-21,0.9993678027793242,444694131.16606486,295826464.19505453,usd-coin
20,2020-01-22,0.9993263708301796,447471889.2737792,279195514.7977273,usd-coin
21,2020-01-23,1.0021384322391766,458243977.46829826,256626144.28933,usd-coin
22,2020-01-24,1.0018182627068517,449166379.97517234,285640886.24212086,usd-coin
23,2020-01-25,1.0011238460704248,449600265.5833716,286107928.3348797,usd-coin
24,2020-01-26,1.0006639088536755,449476884.2306004,244210459.7461761,usd-coin
25,2020-01-27,1.0021076863369747,449139167.0478376,256635271.59950927,usd-coin
26,2020-01-28,1.000433419436237,445977554.67270446,370238584.8472316,usd-coin
27,2020-01-29,1.001122451694941,446882008.2728506,448288919.4254742,usd-coin
28,2020-01-30,1.0030732387476213,447850721.2904782,329305030.0167714,usd-coin
29,2020-01-31,1.007384162924156,442466920.59014815,260192382.22507098,usd-coin
30,2020-02-01,0.9975905511460726,440802894.1427316,366405556.2101646,usd-coin
31,2020-02-02,1.000172262653952,438558615.1972161,278191383.73201495,usd-coin
32,2020-02-03,1.0017872529153813,438330505.30361515,334030142.13667685,usd-coin
33,2020-02-04,1.0033354568085155,437557126.48084635,334301385.17042893,usd-coin
34,2020-02-05,1.0026668839618669,435829631.73077965,334893848.6144629,usd-coin
35,2020-02-06,1.0001499845462867,426708639.3422842,416384830.7855318,usd-coin
36,2020-02-07,1.002281050637337,426671373.9425294,450390087.90382826,usd-coin
37,2020-02-08,1.0012945855248585,423899680.5617039,612416564.8624064,usd-coin
38,2020-02-09,0.9985122982711507,421470434.6481834,575172821.4824011,usd-coin
39,2020-02-10,1.0010865234703594,426484982.769061,577106262.777098,usd-coin
40,2020-02-11,1.000559511003189,422144695.63668936,682099371.5451578,usd-coin
41,2020-02-12,0.9960673261023982,420429610.02102655,814352254.1290025,usd-coin
42,2020-02-13,0.9979514058354851,430565815.04699016,499659250.9941085,usd-coin
43,2020-02-14,0.9995124263994807,429206850.9869917,795445090.9869655,usd-coin
44,2020-02-15,0.9968515754411725,429538978.04663086,1810793377.7672596,usd-coin
45,2020-02-16,0.999290541644035,429266918.2678881,790480767.6564709,usd-coin
46,2020-02-17,0.9972443872970812,430850991.62091583,876066590.9633191,usd-coin
47,2020-02-18,1.0004951727755653,430318294.5052081,929129188.4125775,usd-coin
48,2020-02-19,0.9965722330824638,432640417.0049491,689684457.0925375,usd-coin
49,2020-02-20,0.9997701722419267,434416692.9648715,789192760.0666754,usd-coin
50,2020-02-21,0.99972217796049,425180738.6769657,922604140.8909782,usd-coin
51,2020-02-22,0.997794414961608,424407128.4289221,937912507.0886436,usd-coin
52,2020-02-23,0.9987065824140435,425934494.76238275,869696962.2647609,usd-coin
53,2020-02-24,0.995674907350327,424523237.5337561,963993785.4022366,usd-coin
54,2020-02-25,1.0000981120163825,427141133.313967,1041052749.6523744,usd-coin
55,2020-02-26,1.0006108114692402,428152154.6045574,968460070.3150461,usd-coin
56,2020-02-27,1.00117595994388,430280212.03897715,1080225894.2333267,usd-coin
57,2020-02-28,1.0023953620986088,442683070.96539927,1037984076.0452267,usd-coin
58,2020-02-29,0.9972099815214216,444737275.3542712,981166187.7326924,usd-coin
59,2020-03-01,0.9982437635694686,444538917.71692306,863646820.5199721,usd-coin
60,2020-03-02,1.0033074513914941,445667651.9329806,833220836.6504524,usd-coin
61,2020-03-03,1.000198808887739,457244830.19271606,903368008.5865643,usd-coin
62,2020-03-04,1.000404484476879,468968352.68741703,950860602.2740312,usd-coin
63,2020-03-05,1.0010607136404595,468927308.371022,735162923.3795483,usd-coin
64,2020-03-06,0.9990746483863838,462571692.7938007,704651380.9283665,usd-coin
65,2020-03-07,0.9981382957729691,462713791.6625834,1350469901.527118,usd-coin
66,2020-03-08,1.0006787187546513,464653647.0429611,1172262395.507939,usd-coin
67,2020-03-09,1.0014391268876024,460009438.3731151,1311414526.7305403,usd-coin
68,2020-03-10,1.0007510512555875,460225304.0707362,1288989238.02497,usd-coin
