,FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID
0,2020-01-02,0.999507821326192,4286266485.3207355,20511330406.674465,tether
1,2020-01-03,0.9999832025083374,4288898575.229704,22785123515.581898,tether
2,2020-01-04,0.9986614009361051,4283023028.1804905,34359766805.71312,tether
3,2020-01-05,0.9995946940849466,4287220840.862627,23242310022.858974,tether
4,2020-01-06,0.999073171867019,4281391701.4349484,25499195568.806232,tether
5,2020-01-07,0.9981827866429676,4285344128.9621105,32170855517.2865,tether
6,2020-01-08,0.9976813366918341,4279309316.940058,38566149172.81088,tether
7,2020-01-09,0.9965366815334304,4273984481.0242386,41309963723.6954,tether
8,2020-01-10,0.9994794280889749,4286942072.2085485,31855695067.773724,tether
9,2020-01-11,0.9998655227680792,4288341143.272189,39342110024.91291,tether
10,2020-01-12,0.9975253744406919,4273319340.088697,34614915677.69449,tether
11,2020-01-13,1.0001681317462912,4281347849.5961967,29450782375.852303,tether
12,2020-01-14,0.9985525252321114,4282360329.8870263,29491433579.915695,tether
13,2020-01-15,0.998848852452953,4278526948.1391935,70376678351.42145,tether
14,2020-01-16,0.9994019362047668,4286133433.3041477,57728408600.02831,tether
15,2020-01-17,0.9983197260240368,4277820757.819113,44913821772.44957,tether
16,2020-01-18,0.9957874583785621,4279860809.687358,52914761703.3385,tether
17,2020-01-19,0.9975529859941238,4277817641.5174227,49212911786.04843,tether
18,2020-01-20,0.9969513273091031,4282607058.0138593,49853909284.7254,tether
19,2020-01-21,0.9983030322625659,4281327773.24018,34635136455.02754,tether
20,2020-01-22,0.9977116739524657,4283473427.904655,32056660166.936714,tether
21,2020-01-23,0.9985937010499811,4282886404.333369,30662512551.840458,tether
22,2020-01-24,1.0009899104251683,4279582980.171292,35688764491.40632,tether
23,2020-01-25,0.999097347850901,4289750200.54091,37805953713.07573,tether
24,2020-01-26,0.9987495991050291,4283647990.5767603,31241223289.113647,tether
25,2020-01-27,0.999417653103968,4285728293.985232,36708874104.71233,tether
26,2020-01-28,0.997320267772765,4277424753.5497913,49516047672.77202,tether
27,2020-01-29,0.9985797216223461,4295159219.365079,58290792407.472824,tether
28,2020-01-30,0.9959188112476212,4276714293.7678623,57787218862.40493,tether
29,2020-01-31,1.0001071498625378,4277899662.966756,65338196682.927795,tether
30,2020-02-01,0.9949723248382352,4277278307.8863506,63083137863.675835,tether
31,2020-02-02,0.99775698373137,4279297792.444087,62333602428.36928,tether
32,2020-02-03,0.9986719441099856,4285631681.8754773,70633299956.59721,tether
33,2020-02-04,1.0008709430211222,4291651783.0249114,72074860985.64421,tether
34,2020-02-05,0.9979213391953322,4279687870.004281,69616898293.4287,tether
35,2020-02-06,0.998020152360994,4281286725.960383,83367665666.77362,tether
36,2020-02-07,0.9979372623597819,4280165005.9691873,89456430446.92986,tether
37,2020-02-08,0.999092660305078,4283434128.752056,89855187101.49152,tether
38,2020-02-09,0.9987240275912661,4283445364.169793,93961336140.33603,tether
39,2020-02-10,1.003790142697372,4304246879.444564,100945702635.24588,tether
40,2020-02-11,1.0011750673352364,4293957672.4137683,106352560942.68538,tether
41,2020-02-12,0.9998825812129699,4288414305.541914,46750756586.52256,tether
42,2020-02-13,0.9996700920986528,4276982477.616516,57978692410.21687,tether
43,2020-02-14,0.9990667830388394,4279251912.61609,71399518927.5377,tether
44,2020-02-15,0.9987513662366138,4283562617.3753257,65602990735.9234,tether
45,2020-02-16,0.9998509906435199,4282126676.342095,70029696425.96321,tether
46,2020-02-17,0.9987392526586419,4287194543.0562115,55975123555.71236,tether
47,2020-02-18,1.0031524407098347,4296553112.351896,64384114671.17158,tether
48,2020-02-19,0.9989162904927481,4285326170.913868,70299261237.21727,tether
49,2020-02-20,0.9985763786839383,4282876600.3408866,65196416436.48433,tether
50,2020-02-21,1.0000231734164284,4287659834.945381,72007263154.84265,tether
51,2020-02-22,0.9983779799065131,4286189909.950764,43693281116.5608,tether
52,2020-02-23,0.999835090849951,4285130709.1202736,37409628165.20042,tether
53,2020-02-24,1.0005920868619536,4294456127.209374,44933931790.78866,tether
54,2020-02-25,1.0019620616008489,4289228245.46827,50814470266.30067,tether
55,2020-02-26,0.9981775849382266,4284267566.820399,48218794419.31541,tether
56,2020-02-27,0.9992370750491137,4279357850.6112013,60222173759.006355,tether
57,2020-02-28,0.9997179462518065,4290501476.9167504,53511612145.49837,tether
58,2020-02-29,1.0000582906022206,4284583525.7589073,50928255293.28052,tether
59,2020-03-01,0.9987546750406746,4281707677.9713054,39523155374.76641,tether
60,2020-03-02,1.0013864250869449,4287586058.2481146,40679056015.069176,tether
61,2020-03-03,1.000332896579984,4287612678.8629875,62844694239.69653,tether
62,2020-03-04,1.0008393315870856,4290848897.27709,69962062115.36945,tether
63,2020-03-05,1.0016485814050076,4294158069.3345623,43525699046.66516,tether
64,2020-03-06,0.9990440784866556,4283452585.4754834,46015872915.016624,tether
65,2020-03-07,1.000406495817782,4292195689.740502,48040883409.130745,tether
66,2020-03-08,1.0010701016406582,4288082506.561007,44669108239.37727,tether
67,2020-03-09,0.9959001265680464,4262796415.2644653,41092822471.060905,tether
68,2020-03-10,1.0034549666648542,4299840152.818669,60711640591.94306,tether
69,2020-03-11,1.0005299047245786,4301130617.355973,47930121433.38325,tether
70,2020-03-12,0.9988167988364098,4311456649.06912,45304260520.12959,tether
71,2020-03-13,0.9872924012909189,4308381652.1723,65370235004.51704,tether
72,2020-03-14,1.0122904462995,4340812840.148948,92226829877.40114,tether
