FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID
2020-01-02,13.685902488392259,2099316231.125117,184709056.80440834,binancecoin
2020-01-03,13.00717054213436,1995647509.1802216,157356597.61545256,binancecoin
2020-01-04,13.603275575206876,2088116795.7714274,177239685.25572574,binancecoin
2020-01-05,13.794575234456074,2116144291.915908,169907478.42152599,binancecoin
2020-01-06,14.006360708388502,2147450559.740196,183407548.10139453,binancecoin
2020-01-07,14.900504443309478,2290887105.200194,222341899.1044333,binancecoin
2020-01-08,14.969516286188654,2303435257.4222775,212354395.11205515,binancecoin
2020-01-09,14.49911394271138,2231554930.3303814,182170907.22937414,binancecoin
2020-01-10,14.402400294232802,2202749503.6861596,186715078.23074365,binancecoin
2020-01-11,15.072651262021571,2298403615.7259774,205053226.0090087,binancecoin
2020-01-12,14.897654836330961,2290593279.156139,214306064.04047754,binancecoin
2020-01-13,15.303621814103838,2347844996.5334334,210916688.70912793,binancecoin
2020-01-14,15.162796266272917,2328371221.1582727,190567044.13822088,binancecoin
2020-01-15,16.651217038759167,2546512800.3187695,256200729.81616852,binancecoin
2020-01-16,17.659959590160472,2695653560.446619,363286199.19305456,binancecoin
2020-01-17,17.013462282038063,2603726452.038203,180942925.1164076,binancecoin
2020-01-18,18.06731694374428,2784697147.5543413,324691292.3556272,binancecoin
2020-01-19,17.779565661603783,2733334308.82279,260499762.30293602,binancecoin
2020-01-20,17.354672097456596,2662443492.9893026,247057878.98885408,binancecoin
2020-01-21,17.331768951043593,2658043749.5532937,263222093.53699622,binancecoin
2020-01-22,18.105663770242614,2775403908.1440234,282373775.61762744,binancecoin
2020-01-23,17.785287373025103,2727795013.688821,221221906.91524404,binancecoin
2020-01-24,16.98120135034776,2605306661.6892314,213945091.06471282,binancecoin
2020-01-25,17.025802918717087,2614002412.698689,225882782.21239612,binancecoin
2020-01-26,16.94388900899939,2604451767.4990172,205048618.44829246,binancecoin
2020-01-27,17.436952810120008,2674086712.651739,243479316.87407124,binancecoin
2020-01-28,17.63534383459029,2698791730.431113,230946817.91046128,binancecoin
2020-01-29,18.056718711616835,2745879946.2703395,237464057.06177658,binancecoin
2020-01-30,17.84868977674811,2747236096.2496214,241033846.2136708,binancecoin
2020-01-31,18.574468214673352,2847071752.4987006,252662477.17571872,binancecoin
2020-02-01,18.102591892792578,2788030152.176015,243240997.98320857,binancecoin
2020-02-02,18.146979940249174,2785023700.2725196,184719237.7135627,binancecoin
2020-02-03,18.429785866197033,2828376341.9687476,253345268.4467689,binancecoin
2020-02-04,18.469727776907344,2834950672.338868,173491661.6450308,binancecoin
2020-02-05,18.12227006043833,2787798000.3473516,136322480.73723087,binancecoin
2020-02-06,19.184981739970137,2945748769.8295617,290141371.29324454,binancecoin
2020-02-07,20.606359319469284,3157866992.351171,353390568.57729137,binancecoin
2020-02-08,22.124597241734357,3395280397.1581664,437168891.0251412,binancecoin
2020-02-09,21.79557766853931,3345049428.7296357,294670011.461237,binancecoin
2020-02-10,23.919374909046866,3671656947.759465,396099869.5758383,binancecoin
2020-02-11,25.25283145161699,3882697589.255931,621855205.6001904,binancecoin
2020-02-12,25.67332747973676,3940209442.1202903,513583904.4563307,binancecoin
2020-02-13,26.420489006558586,4030446327.5002565,476505354.8734143,binancecoin
2020-02-14,25.40353101258859,3894836056.451729,382278653.96362925,binancecoin
2020-02-15,26.237614637148184,4014430330.4323864,421277508.15463513,binancecoin
2020-02-16,24.066232472692846,3694035234.841765,433444195.9497916,binancecoin
2020-02-17,23.642234372603625,3616306586.4908743,442399014.6733692,binancecoin
2020-02-18,23.57106008535937,3598860680.007088,440300039.5821427,binancecoin
2020-02-19,24.024721722374153,3691896845.9100976,347593301.5396434,binancecoin
2020-02-20,22.251104060858165,3449518851.48574,288054592.1590407,binancecoin
2020-02-21,22.140091604747862,3400751851.238378,293917888.1928246,binancecoin
2020-02-22,22.12011683926348,3395848277.908833,379734030.4011887,binancecoin
2020-02-23,21.935212654010517,3364840516.8519645,308906985.69944227,binancecoin
2020-02-24,22.871503770762548,3510096072.4666047,370143216.20063436,binancecoin
2020-02-25,22.034127069698563,3364128427.944973,305719319.9020813,binancecoin
2020-02-26,20.38515618213182,3134455973.6722302,292947590.95183,binancecoin
2020-02-27,18.71084904799088,2858511810.4523153,346015231.2115283,binancecoin
2020-02-28,19.12124747113437,2921518777.105417,334602154.89532155,binancecoin
2020-02-29,18.967838512147207,2926158625.653091,475710231.97751814,binancecoin
2020-03-01,19.316274350494563,2982985653.833748,510660552.38554364,binancecoin
2020-03-02,18.99084847186697,2908085916.4507985,279150858.820654,binancecoin
2020-03-03,19.869623866638342,3047290851.6456995,342469581.8297362,binancecoin
2020-03-04,19.591985408563584,2967313549.754455,328500278.4133449,binancecoin
2020-03-05,19.998016534820184,3023669002.147633,316845189.14028096,binancecoin
2020-03-06,20.819562373865413,3148122007.3728514,348942110.5211332,binancecoin
2020-03-07,21.32006190430721,3225098953.680081,395065946.11913174,binancecoin
2020-03-08,20.034630500318833,3021511858.4877877,314894895.76634705,binancecoin
2020-03-09,16.8768661458687,2576606762.579333,273483539.38262784,binancecoin
2020-03-10,16.583534012655026,2497008181.427224,383658471.5850716,binancecoin
2020-03-11,16.885542526765494,2565981290.9065304,330638655.66053146,binancecoin
2020-03-12,16.567936765899848,2493501408.1594257,267252146.98900422,binancecoin
2020-03-13,9.472898274350825,1437874399.8177972,412918004.27244896,binancecoin
2020-03-14,10.894970921051218,1615054798.958406,551414732.7958282,binancecoin
