FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID
2020-01-02,0.002025652917535451,248529647.116573,38576914.81140906,dogecoin
2020-01-03,0.002008392768899006,247094892.42233893,46080313.169856794,dogecoin
2020-01-04,0.002048874655661109,251527987.79634985,40863740.2637823,dogecoin
2020-01-05,0.002189335881061751,268594298.65203285,46196902.62503713,dogecoin
2020-01-06,0.0020704060020270594,254259070.1197398,32539590.819854695,dogecoin
2020-01-07,0.0021300120654640553,261857064.67104656,38106371.073414624,dogecoin
2020-01-08,0.0022347809887025235,275004935.79986775,43529571.27630211,dogecoin
2020-01-09,0.0021698238204068757,267243278.20635143,43151513.171993494,dogecoin
2020-01-10,0.002289899197215696,280642957.93576306,48004964.687259704,dogecoin
2020-01-11,0.0022604175530193025,277319085.42168796,53435758.9843392,dogecoin
2020-01-12,0.0022184065662058288,274549041.47028416,60455962.13803458,dogecoin
2020-01-13,0.002265321943642647,278184999.84880733,52330281.75188446,dogecoin
2020-01-14,0.0021502904144149043,268905102.88047975,48689131.79398153,dogecoin
2020-01-15,0.0023332170388867396,285915720.1525665,86813590.25639725,dogecoin
2020-01-16,0.002398899484374976,293219030.2143502,107025135.71837308,dogecoin
2020-01-17,0.0023355947889077203,287096649.09641534,79745346.96790454,dogecoin
2020-01-18,0.0024266579520018567,298313408.1320623,98670907.34183109,dogecoin
2020-01-19,0.002497897484149602,307116384.3177905,91648033.56327601,dogecoin
2020-01-20,0.0024081338914850193,295309242.2699767,87205354.75027466,dogecoin
2020-01-21,0.0023910498653669154,294045586.6172205,73125411.42149109,dogecoin
2020-01-22,0.002373081484206507,292003032.95144904,67442647.37519659,dogecoin
2020-01-23,0.002367333741039651,291194286.0861457,68481208.43920273,dogecoin
2020-01-24,0.0022401405755836305,277076163.52581805,70446234.76942727,dogecoin
2020-01-25,0.0022725871241637743,279603078.3399694,67906669.73371239,dogecoin
2020-01-26,0.002245109217111814,276253328.58337873,63624027.58255218,dogecoin
2020-01-27,0.002306448037986488,282730605.071507,57079680.62868142,dogecoin
2020-01-28,0.002365805032008168,291169771.48012865,71267011.27385685,dogecoin
2020-01-29,0.0024452269213911916,300978822.31486434,73912107.34704554,dogecoin
2020-01-30,0.0023899527892344732,293720726.42376184,60908834.3515024,dogecoin
2020-01-31,0.002431817492304092,299395266.276698,68004034.73337087,dogecoin
2020-02-01,0.0023867772441504213,293883414.0927982,58805204.81953648,dogecoin
2020-02-02,0.0024052458887393793,296190766.360422,61580812.41013885,dogecoin
2020-02-03,0.0024687958181044364,304050716.34409064,74934190.64597635,dogecoin
2020-02-04,0.0024399251647118556,300528804.91610813,64002051.11978398,dogecoin
2020-02-05,0.0024769854987100512,305127579.11080337,61160180.35437329,dogecoin
2020-02-06,0.0025801212331233465,317868370.34649044,74945448.71775518,dogecoin
2020-02-07,0.0026613780358569574,327915495.04639745,68693591.6002877,dogecoin
2020-02-08,0.0027733568756612595,341082966.9310376,74768228.3109035,dogecoin
2020-02-09,0.0031526232578347143,388530856.4864009,114237107.48269543,dogecoin
2020-02-10,0.003220522109648254,396943068.4913495,122582884.23405837,dogecoin
2020-02-11,0.003015785389198763,371749850.1071834,104681582.67689836,dogecoin
2020-02-12,0.0030527008854090757,376342792.7170969,152367638.31450644,dogecoin
2020-02-13,0.003050979565269073,376172783.65998447,153307473.93043435,dogecoin
2020-02-14,0.0030327996529067465,373973425.0449148,146323760.9897969,dogecoin
2020-02-15,0.0031020224427573055,382529765.13897663,121465386.01636072,dogecoin
2020-02-16,0.0029604601010514778,365134652.2338547,118598157.54534286,dogecoin
2020-02-17,0.0028394801353567077,345487246.86260724,129451161.48156218,dogecoin
2020-02-18,0.0027217188444984006,330646020.9088191,121852389.24682634,dogecoin
2020-02-19,0.002844918492323236,347694085.36952585,120924221.35645679,dogecoin
2020-02-20,0.002659016739119616,329247157.05573463,120435360.74675378,dogecoin
2020-02-21,0.0026401007480969397,325132840.28354263,163959447.29513237,dogecoin
2020-02-22,0.0026604761565878214,328355983.4467112,139383775.86398557,dogecoin
2020-02-23,0.0026169490257745417,323020192.18934584,143129454.88647804,dogecoin
2020-02-24,0.0026838338713183296,331312903.24520266,167584709.26129562,dogecoin
2020-02-25,0.0025982214121175276,320780422.6428275,141406806.18826887,dogecoin
2020-02-26,0.0024876920158968933,307640834.485865,159530093.72414365,dogecoin
2020-02-27,0.0023276803803001984,287388014.02649766,174293462.49905425,dogecoin
2020-02-28,0.0023297403362865154,288730742.5873611,138916299.7128656,dogecoin
2020-02-29,0.0023080972829547792,285088979.4241193,130103960.27279843,dogecoin
2020-03-01,0.002243760136912376,277173142.30733156,122706371.4694886,dogecoin
2020-03-02,0.002242818091384731,276525338.1066594,132312472.16995798,dogecoin
2020-03-03,0.0023684221012496972,292637623.8657013,141216615.1434779,dogecoin
2020-03-04,0.0024116597266850234,298013222.6554983,145310587.21271068,dogecoin
2020-03-05,0.0024638598811355054,304497587.25450265,130345674.18698607,dogecoin
2020-03-06,0.002478170023021255,306300424.48076445,85693524.53818743,dogecoin
2020-03-07,0.002487200998364399,307450941.5042309,81573107.81165162,dogecoin
2020-03-08,0.0024261943328266946,299943225.37830424,68887904.53028291,dogecoin
2020-03-09,0.002173767373930563,269347499.5804046,79686704.90746602,dogecoin
2020-03-10,0.0021960767238393547,271554683.58954656,105653413.87130305,dogecoin
2020-03-11,0.002203735827409158,272532064.57710326,88469387.3534648,dogecoin
2020-03-12,0.002191375781978763,271034084.12404734,81850204.70560278,dogecoin
2020-03-13,0.0014834682898671341,183588292.09236538,110773263.56278166,dogecoin
2020-03-14,0.0017192781040854769,212660911.622022,162397713.99004295,dogecoin
2020-03-15,0.0016554647971862668,205572589.55604807,83287639.85381952,dogecoin
2020-03-16,0.0016963031185443617,210527259.01455036,92079970.28261894,dogecoin
2020-03-17,0.001593020626084345,197138248.7926614,100216039.67173201,dogecoin
2020-03-18,0.001633126806126824,203980841.13970348,74523963.29975541,dogecoin
2020-03-19,0.0016144167323810948,199830238.34854695,74515510.58586784,dogecoin
2020-03-20,0.0017714853852455325,219296170.9164783,223278152.6602397,dogecoin
2020-03-21,0.0017757305670515226,222079539.2994962,158961780.25948435,dogecoin
2020-03-22,0.001781390022671413,220571686.03194553,133056132.79038009,dogecoin
2020-03-23,0.0017325323865160106,213918482.18504408,135249014.28128096,dogecoin
2020-03-24,0.0018169736593557822,224695676.96147153,140961242.04309145,dogecoin
2020-03-25,0.0018716967539753329,231830875.29133603,153573605.50318238,dogecoin
2020-03-26,0.001834830202579933,227289691.50357187,137546598.60899478,dogecoin
2020-03-27,0.0018582875596893451,230221150.19889328,129916986.9889954,dogecoin
2020-03-28,0.00178400250963029,221042549.90893495,118486362.43302031,dogecoin
2020-03-29,0.001786612377655107,221390520.7241562,139854381.53124577,dogecoin
2020-03-30,0.0017201093483828521,213173580.66658854,127824727.49013917,dogecoin
2020-03-31,0.0018066708506827268,224115611.06461066,130308976.22282745,dogecoin
2020-04-01,0.0018084981373313283,224694247.46939987,125018849.74881093,dogecoin
2020-04-02,0.0018612750505886835,231608793.21825016,133295929.96956751,dogecoin
2020-04-03,0.0018903543609302047,233977644.13226712,135883818.3652451,dogecoin
2020-04-04,0.0018482682267949313,229183776.18408296,130077705.12034462,dogecoin
2020-04-05,0.0018727316885728976,232243150.60342038,129554098.02583218,dogecoin
2020-04-06,0.0018592389441264565,230305063.55678767,123742386.55464539,dogecoin
2020-04-07,0.0019952781814612432,247255676.24604258,145502189.34077024,dogecoin
2020-04-08,0.0020004029521204112,248158953.76778716,141907833.74379894,dogecoin
2020-04-09,0.002013396530563638,250042291.8720743,127878282.27265082,dogecoin
2020-04-10,0.002023642276731532,251097766.85961297,123549292.19990523,dogecoin
2020-04-11,0.0019553233303981183,242951200.60039186,134671135.2782357,dogecoin
2020-04-12,0.001994546570749971,247542049.6224454,128506937.97806722,dogecoin
2020-04-13,0.0019755809975130216,245455791.60917032,128335738.508342,dogecoin
2020-04-14,0.0019595481447037956,243252945.76404834,129649088.18245052,dogecoin
2020-04-15,0.001966765144754284,244175467.4950874,124216047.95923096,dogecoin
2020-04-16,0.0019456332046218555,241578570.51711214,131684089.34708843,dogecoin
2020-04-17,0.0020228472522372696,251193747.3276439,146472116.75338238,dogecoin
2020-04-18,0.0019996019927732,248334765.9740806,121729852.72641443,dogecoin
2020-04-19,0.002060906328302543,255976766.62735203,127629256.47500652,dogecoin
2020-04-20,0.0020374519148369597,253091749.62067482,127839052.89204004,dogecoin
2020-04-21,0.0019746003894539786,245311641.0820963,129791433.25304659,dogecoin
2020-04-22,0.001960256003534966,243556559.77759254,124397419.90261082,dogecoin
2020-04-23,0.0020074003477411153,249659994.30066794,126033359.24454379,dogecoin
2020-04-24,0.002051379334935476,254935165.8005704,140105892.3642261,dogecoin
2020-04-25,0.0020691235664587787,257168786.5180828,161596051.33861956,dogecoin
2020-04-26,0.0021183725357343166,263319084.55648935,179689638.1780725,dogecoin
2020-04-27,0.002322765643186987,288757849.4579052,233725625.080251,dogecoin
2020-04-28,0.002388485226263917,296960896.54383695,224244998.5341308,dogecoin
2020-04-29,0.0023244431996874305,289030583.1637483,200283719.69553015,dogecoin
2020-04-30,0.002557959586873465,318102189.9086037,242370965.82979512,dogecoin
2020-05-01,0.0024423116160898714,303753871.59630835,235092727.59249502,dogecoin
2020-05-02,0.0024890040164181706,309595787.45347303,219094154.08480555,dogecoin
2020-05-03,0.0025320685840475184,315929917.6270776,206828067.27229145,dogecoin
2020-05-04,0.0025147017407102954,312847194.48816675,206286035.23812678,dogecoin
2020-05-05,0.0024859570971615783,307805818.74492526,202161479.34707013,dogecoin
2020-05-06,0.002492679926068163,310190099.1707827,191425230.39362994,dogecoin
2020-05-07,0.002515865355671929,313109921.02338296,194670688.82242593,dogecoin
2020-05-08,0.0026795755607618133,333521246.82060003,231863021.6014279,dogecoin
2020-05-09,0.002610648868243647,325727926.6156065,233587352.8328149,dogecoin
2020-05-10,0.002580034050146067,321346729.6707498,232331569.78586742,dogecoin
2020-05-11,0.002431493137807546,302726858.91509694,232503916.47255927,dogecoin
2020-05-12,0.002414175085955832,300604018.9765633,225533469.66592544,dogecoin
2020-05-13,0.00246437921702702,306504298.82334745,203607474.54131982,dogecoin
2020-05-14,0.002552333081264038,317877729.3660128,211321832.63797155,dogecoin
2020-05-15,0.0026081946608221976,325137727.16545933,230680148.75764883,dogecoin
2020-05-16,0.0024727558171709174,308034839.7949836,198862295.41764167,dogecoin
2020-05-17,0.002515121829380273,313347148.85096204,194713613.44986424,dogecoin
2020-05-18,0.0025597853187136225,318304381.77228457,198445361.81293124,dogecoin
2020-05-19,0.002544594372749391,316949353.4375354,206083120.89024433,dogecoin
2020-05-20,0.00254643804449757,317354537.6796903,122220132.33541103,dogecoin
2020-05-21,0.0024920273261715502,310868150.8311389,116334207.78770015,dogecoin
2020-05-22,0.002417488670197314,302016245.62339747,135564016.30217594,dogecoin
2020-05-23,0.0025213071058175353,314467655.8578066,142767321.29591206,dogecoin
2020-05-24,0.0025323838634566417,315817593.94478947,139842299.82392925,dogecoin
2020-05-25,0.002425809080825033,303756922.6593678,118180701.6397779,dogecoin
2020-05-26,0.0025012589481197695,311963042.24932,150073653.84341142,dogecoin
2020-05-27,0.00250776468796376,312807914.2166725,125833705.39194497,dogecoin
